condition,trial,pipeline,outcome,xy_error_cm,note
truncated_depth,4,safe,no_motion,nan,"frame rejected: Depth shape (276480,) (size 276480) cannot be mapped to (480"
truncated_depth,5,raw,no_motion,nan,crash: ValueError
truncated_depth,5,safe,no_motion,nan,"frame rejected: Depth shape (276480,) (size 276480) cannot be mapped to (480"
truncated_depth,6,raw,no_motion,nan,crash: ValueError
truncated_depth,6,safe,no_motion,nan,"frame rejected: Depth shape (276480,) (size 276480) cannot be mapped to (480"
truncated_depth,7,raw,no_motion,nan,crash: ValueError
truncated_depth,7,safe,no_motion,nan,"frame rejected: Depth shape (276480,) (size 276480) cannot be mapped to (480"
truncated_depth,8,raw,no_motion,nan,crash: ValueError
truncated_depth,8,safe,no_motion,nan,"frame rejected: Depth shape (276480,) (size 276480) cannot be mapped to (480"
truncated_depth,9,raw,no_motion,nan,crash: ValueError
truncated_depth,9,safe,no_motion,nan,"frame rejected: Depth shape (276480,) (size 276480) cannot be mapped to (480"
truncated_depth,10,raw,no_motion,nan,crash: ValueError
truncated_depth,10,safe,no_motion,nan,"frame rejected: Depth shape (276480,) (size 276480) cannot be mapped to (480"
truncated_depth,11,raw,no_motion,nan,crash: ValueError
truncated_depth,11,safe,no_motion,nan,"frame rejected: Depth shape (276480,) (size 276480) cannot be mapped to (480"
truncated_depth,12,raw,no_motion,nan,crash: ValueError
truncated_depth,12,safe,no_motion,nan,"frame rejected: Depth shape (276480,) (size 276480) cannot be mapped to (480"
truncated_depth,13,raw,no_motion,nan,crash: ValueError
truncated_depth,13,safe,no_motion,nan,"frame rejected: Depth shape (276480,) (size 276480) cannot be mapped to (480"
truncated_depth,14,raw,no_motion,nan,crash: ValueError
truncated_depth,14,safe,no_motion,nan,"frame rejected: Depth shape (276480,) (size 276480) cannot be mapped to (480"
truncated_depth,15,raw,no_motion,nan,crash: ValueError
truncated_depth,15,safe,no_motion,nan,"frame rejected: Depth shape (276480,) (size 276480) cannot be mapped to (480"
truncated_depth,16,raw,no_motion,nan,crash: ValueError
truncated_depth,16,safe,no_motion,nan,"frame rejected: Depth shape (276480,) (size 276480) cannot be mapped to (480"
truncated_depth,17,raw,no_motion,nan,crash: ValueError
truncated_depth,17,safe,no_motion,nan,"frame rejected: Depth shape (276480,) (size 276480) cannot be mapped to (480"
truncated_depth,18,raw,no_motion,nan,crash: ValueError
truncated_depth,18,safe,no_motion,nan,"frame rejected: Depth shape (276480,) (size 276480) cannot be mapped to (480"
truncated_depth,19,raw,no_motion,nan,crash: ValueError
truncated_depth,19,safe,no_motion,nan,"frame rejected: Depth shape (276480,) (size 276480) cannot be mapped to (480"
mixed_10%,0,raw,no_motion,nan,non-finite grasp point
mixed_10%,0,safe,success,0.20613528838976056,cube_z=0.286
mixed_10%,1,raw,no_motion,nan,non-finite grasp point
mixed_10%,1,safe,success,0.07743443470248694,cube_z=0.286
mixed_10%,2,raw,wrong_motion,83.09570154101728,cube_z=-0.000
mixed_10%,2,safe,wrong_motion,83.09860453260704,cube_z=-0.000
mixed_10%,3,raw,no_motion,nan,non-finite grasp point
mixed_10%,3,safe,success,0.6343984916278387,cube_z=0.286
mixed_10%,4,raw,no_motion,nan,non-finite grasp point
mixed_10%,4,safe,success,0.39591304841903396,cube_z=0.286
mixed_10%,5,raw,no_motion,nan,non-finite grasp point
mixed_10%,5,safe,success,0.31863860595580584,cube_z=0.286
